attribute_id,content_id,attribute_name,string_value,decimal_value,date_value,created_at
123,62,Categoría,Tecnología,,,2025-01-02 00:00:00
130,65,Duración,,118,,2025-01-02 00:00:00
134,67,Duración,,114,,2025-01-02 00:00:00
136,68,Duración,,82,,2025-01-02 00:00:00
137,69,Categoría,Economía,,,2025-01-02 00:00:00
139,70,Categoría,Economía,,,2025-01-02 00:00:00
141,71,Categoría,Filosofía,,,2025-01-02 00:00:00
142,71,Duración,,118,,2025-01-02 00:00:00
145,73,Categoría,Arte,,,2025-01-02 00:00:00
149,75,Categoría,Ciencia,,,2025-01-02 00:00:00
152,76,Duración,,109,,2025-01-02 00:00:00
153,77,Categoría,Tecnología,,,2025-01-02 00:00:00
155,78,Categoría,Arte,,,2025-01-02 00:00:00
160,80,Duración,,84,,2025-01-02 00:00:00
162,81,Duración,,13,,2025-01-02 00:00:00
165,83,Categoría,Matemáticas,,,2025-01-02 00:00:00
166,83,Duración,,40,,2025-01-02 00:00:00
168,84,Duración,,63,,2025-01-02 00:00:00
170,85,Duración,,116,,2025-01-02 00:00:00
175,88,Categoría,Arte,,,2025-01-02 00:00:00
176,88,Duración,,86,,2025-01-02 00:00:00
178,89,Duración,,143,,2025-01-02 00:00:00
180,90,Duración,,50,,2025-01-02 00:00:00
181,91,Categoría,Filosofía,,,2025-01-02 00:00:00
188,94,Duración,,38,,2025-01-02 00:00:00
190,95,Duración,,94,,2025-01-02 00:00:00
191,96,Categoría,Economía,,,2025-01-02 00:00:00
192,96,Duración,,120,,2025-01-02 00:00:00
194,97,Duración,,46,,2025-01-02 00:00:00
195,98,Categoría,Ciencia,,,2025-01-02 00:00:00
199,100,Categoría,Historia,,,2025-01-02 00:00:00
200,100,Duración,,25,,2025-01-02 00:00:00
206,103,Duración,,102,,2025-01-02 00:00:00
207,104,Categoría,Tecnología,,,2025-01-02 00:00:00
209,105,Categoría,Historia,,,2025-01-02 00:00:00
216,108,Duración,,15,,2025-01-02 00:00:00
221,111,Categoría,Matemáticas,,,2025-01-02 00:00:00
223,112,Categoría,Economía,,,2025-01-02 00:00:00
227,114,Categoría,Arte,,,2025-01-02 00:00:00
229,115,Categoría,Arte,,,2025-01-02 00:00:00
233,117,Categoría,Ciencia,,,2025-01-02 00:00:00
235,118,Categoría,Historia,,,2025-01-02 00:00:00
237,119,Categoría,Ciencia,,,2025-01-02 00:00:00
239,120,Categoría,Arte,,,2025-01-02 00:00:00
240,120,Duración,,92,,2025-01-02 00:00:00
250,125,Duración,,83,,2025-01-02 00:00:00
252,126,Duración,,74,,2025-01-02 00:00:00
254,127,Duración,,128,,2025-01-02 00:00:00
255,128,Categoría,Tecnología,,,2025-01-02 00:00:00
260,130,Duración,,92,,2025-01-02 00:00:00
263,132,Categoría,Tecnología,,,2025-01-02 00:00:00
265,133,Categoría,Historia,,,2025-01-02 00:00:00
266,133,Duración,,26,,2025-01-02 00:00:00
268,134,Duración,,107,,2025-01-02 00:00:00
270,135,Duración,,22,,2025-01-02 00:00:00
272,136,Duración,,93,,2025-01-02 00:00:00
273,137,Categoría,Tecnología,,,2025-01-02 00:00:00
277,139,Categoría,Filosofía,,,2025-01-02 00:00:00
280,140,Duración,,30,,2025-01-02 00:00:00
287,144,Categoría,Filosofía,,,2025-01-02 00:00:00
290,145,Duración,,27,,2025-01-02 00:00:00
293,147,Categoría,Economía,,,2025-01-02 00:00:00
295,148,Categoría,Ciencia,,,2025-01-02 00:00:00
297,149,Categoría,Filosofía,,,2025-01-02 00:00:00
299,150,Categoría,Historia,,,2025-01-02 00:00:00
304,152,Duración,,68,,2025-01-02 00:00:00
307,154,Categoría,Arte,,,2025-01-02 00:00:00
312,156,Duración,,41,,2025-01-02 00:00:00
315,158,Categoría,Historia,,,2025-01-02 00:00:00
319,160,Categoría,Ciencia,,,2025-01-02 00:00:00
320,160,Duración,,64,,2025-01-02 00:00:00
323,162,Categoría,Ciencia,,,2025-01-02 00:00:00
324,162,Duración,,58,,2025-01-02 00:00:00
325,163,Categoría,Ciencia,,,2025-01-02 00:00:00
328,164,Duración,,67,,2025-01-02 00:00:00
330,165,Duración,,94,,2025-01-02 00:00:00
332,166,Duración,,73,,2025-01-02 00:00:00
336,168,Duración,,92,,2025-01-02 00:00:00
342,171,Duración,,60,,2025-01-02 00:00:00
343,172,Categoría,Matemáticas,,,2025-01-02 00:00:00
347,174,Categoría,Matemáticas,,,2025-01-02 00:00:00
348,174,Duración,,86,,2025-01-02 00:00:00
351,176,Categoría,Filosofía,,,2025-01-02 00:00:00
355,178,Categoría,Matemáticas,,,2025-01-02 00:00:00
356,178,Duración,,113,,2025-01-02 00:00:00
357,179,Categoría,Arte,,,2025-01-02 00:00:00
358,179,Duración,,76,,2025-01-02 00:00:00
360,180,Duración,,75,,2025-01-02 00:00:00
361,181,Categoría,Filosofía,,,2025-01-02 00:00:00
364,182,Duración,,101,,2025-01-02 00:00:00
365,183,Categoría,Ciencia,,,2025-01-02 00:00:00
368,184,Duración,,67,,2025-01-02 00:00:00
369,185,Categoría,Historia,,,2025-01-02 00:00:00
370,185,Duración,,113,,2025-01-02 00:00:00
371,186,Categoría,Ciencia,,,2025-01-02 00:00:00
374,187,Duración,,91,,2025-01-02 00:00:00
379,190,Categoría,Ciencia,,,2025-01-02 00:00:00
380,190,Duración,,55,,2025-01-02 00:00:00
390,195,Duración,,111,,2025-01-02 00:00:00
394,197,Duración,,47,,2025-01-02 00:00:00
397,199,Categoría,Matemáticas,,,2025-01-02 00:00:00
398,199,Duración,,95,,2025-01-02 00:00:00
399,200,Categoría,Arte,,,2025-01-02 00:00:00
400,200,Duración,,70,,2025-01-02 00:00:00
401,201,Categoría,Historia,,,2025-01-02 00:00:00
406,203,Duración,,27,,2025-01-02 00:00:00
407,204,Categoría,Filosofía,,,2025-01-02 00:00:00
409,205,Categoría,Historia,,,2025-01-02 00:00:00
411,206,Categoría,Arte,,,2025-01-02 00:00:00
412,206,Duración,,113,,2025-01-02 00:00:00
414,207,Duración,,111,,2025-01-02 00:00:00
418,209,Duración,,54,,2025-01-02 00:00:00
421,211,Categoría,Tecnología,,,2025-01-02 00:00:00
422,211,Duración,,85,,2025-01-02 00:00:00
426,213,Duración,,8,,2025-01-02 00:00:00
431,216,Categoría,Historia,,,2025-01-02 00:00:00
433,217,Categoría,Arte,,,2025-01-02 00:00:00
434,217,Duración,,22,,2025-01-02 00:00:00
435,218,Categoría,Filosofía,,,2025-01-02 00:00:00
443,222,Categoría,Tecnología,,,2025-01-02 00:00:00
447,224,Categoría,Filosofía,,,2025-01-02 00:00:00
448,224,Duración,,43,,2025-01-02 00:00:00
451,226,Categoría,Ciencia,,,2025-01-02 00:00:00
454,227,Duración,,100,,2025-01-02 00:00:00
455,228,Categoría,Historia,,,2025-01-02 00:00:00
456,228,Duración,,37,,2025-01-02 00:00:00
460,230,Duración,,20,,2025-01-02 00:00:00
466,233,Duración,,97,,2025-01-02 00:00:00
468,234,Duración,,86,,2025-01-02 00:00:00
473,237,Categoría,Filosofía,,,2025-01-02 00:00:00
474,237,Duración,,80,,2025-01-02 00:00:00
475,238,Categoría,Tecnología,,,2025-01-02 00:00:00
477,239,Categoría,Tecnología,,,2025-01-02 00:00:00
478,239,Duración,,74,,2025-01-02 00:00:00
480,240,Duración,,78,,2025-01-02 00:00:00
481,241,Categoría,Economía,,,2025-01-02 00:00:00
486,243,Duración,,144,,2025-01-02 00:00:00
497,249,Categoría,Ciencia,,,2025-01-02 00:00:00
500,250,Duración,,56,,2025-01-02 00:00:00
501,251,Categoría,Arte,,,2025-01-02 00:00:00
508,254,Duración,,176,,2025-01-02 00:00:00
512,256,Duración,,21,,2025-01-02 00:00:00
514,257,Duración,,81,,2025-01-02 00:00:00
515,258,Categoría,Historia,,,2025-01-02 00:00:00
518,259,Duración,,166,,2025-01-02 00:00:00
526,263,Duración,,80,,2025-01-02 00:00:00
528,264,Duración,,113,,2025-01-02 00:00:00
533,267,Categoría,Matemáticas,,,2025-01-02 00:00:00
534,267,Duración,,88,,2025-01-02 00:00:00
537,269,Categoría,Tecnología,,,2025-01-02 00:00:00
538,269,Duración,,118,,2025-01-02 00:00:00
540,270,Duración,,25,,2025-01-02 00:00:00
543,272,Categoría,Filosofía,,,2025-01-02 00:00:00
546,273,Duración,,97,,2025-01-02 00:00:00
547,274,Categoría,Filosofía,,,2025-01-02 00:00:00
555,278,Categoría,Arte,,,2025-01-02 00:00:00
558,279,Duración,,86,,2025-01-02 00:00:00
561,281,Categoría,Ciencia,,,2025-01-02 00:00:00
563,282,Categoría,Arte,,,2025-01-02 00:00:00
564,282,Duración,,31,,2025-01-02 00:00:00
565,283,Categoría,Ciencia,,,2025-01-02 00:00:00
570,285,Duración,,72,,2025-01-02 00:00:00
580,290,Duración,,93,,2025-01-02 00:00:00
585,293,Categoría,Historia,,,2025-01-02 00:00:00
586,293,Duración,,19,,2025-01-02 00:00:00
593,297,Categoría,Tecnología,,,2025-01-02 00:00:00
597,299,Categoría,Filosofía,,,2025-01-02 00:00:00
598,299,Duración,,120,,2025-01-02 00:00:00
599,300,Categoría,Filosofía,,,2025-01-02 00:00:00
600,300,Duración,,114,,2025-01-02 00:00:00
601,301,Categoría,Historia,,,2025-01-02 00:00:00
604,302,Duración,,106,,2025-01-02 00:00:00
606,303,Duración,,109,,2025-01-02 00:00:00
608,304,Duración,,107,,2025-01-02 00:00:00
609,305,Categoría,Tecnología,,,2025-01-02 00:00:00
610,305,Duración,,29,,2025-01-02 00:00:00
616,308,Duración,,27,,2025-01-02 00:00:00
617,309,Categoría,Economía,,,2025-01-02 00:00:00
618,309,Duración,,90,,2025-01-02 00:00:00
622,311,Duración,,20,,2025-01-02 00:00:00
625,313,Categoría,Arte,,,2025-01-02 00:00:00
626,313,Duración,,54,,2025-01-02 00:00:00
627,314,Categoría,Arte,,,2025-01-02 00:00:00
630,315,Duración,,103,,2025-01-02 00:00:00
638,319,Duración,,93,,2025-01-02 00:00:00
639,320,Categoría,Ciencia,,,2025-01-02 00:00:00
640,320,Duración,,112,,2025-01-02 00:00:00
642,321,Duración,,67,,2025-01-02 00:00:00
650,325,Duración,,98,,2025-01-02 00:00:00
651,326,Categoría,Filosofía,,,2025-01-02 00:00:00
653,327,Categoría,Economía,,,2025-01-02 00:00:00
658,329,Duración,,54,,2025-01-02 00:00:00
662,331,Duración,,112,,2025-01-02 00:00:00
663,332,Categoría,Arte,,,2025-01-02 00:00:00
664,332,Duración,,105,,2025-01-02 00:00:00
668,334,Duración,,66,,2025-01-02 00:00:00
671,336,Categoría,Filosofía,,,2025-01-02 00:00:00
675,338,Categoría,Matemáticas,,,2025-01-02 00:00:00
679,340,Categoría,Tecnología,,,2025-01-02 00:00:00
680,340,Duración,,120,,2025-01-02 00:00:00
682,341,Duración,,59,,2025-01-02 00:00:00
689,345,Categoría,Matemáticas,,,2025-01-02 00:00:00
692,346,Duración,,75,,2025-01-02 00:00:00
695,348,Categoría,Ciencia,,,2025-01-02 00:00:00
698,349,Duración,,22,,2025-01-02 00:00:00
699,350,Categoría,Matemáticas,,,2025-01-02 00:00:00
702,351,Duración,,15,,2025-01-02 00:00:00
706,353,Duración,,100,,2025-01-02 00:00:00
709,355,Categoría,Tecnología,,,2025-01-02 00:00:00
713,357,Categoría,Economía,,,2025-01-02 00:00:00
716,358,Duración,,68,,2025-01-02 00:00:00
720,360,Duración,,15,,2025-01-02 00:00:00
721,361,Categoría,Matemáticas,,,2025-01-02 00:00:00
723,362,Categoría,Arte,,,2025-01-02 00:00:00
724,362,Duración,,46,,2025-01-02 00:00:00
729,365,Categoría,Arte,,,2025-01-02 00:00:00
732,366,Duración,,45,,2025-01-02 00:00:00
733,367,Categoría,Tecnología,,,2025-01-02 00:00:00
735,368,Categoría,Matemáticas,,,2025-01-02 00:00:00
736,368,Duración,,96,,2025-01-02 00:00:00
739,370,Categoría,Historia,,,2025-01-02 00:00:00
741,371,Categoría,Ciencia,,,2025-01-02 00:00:00
746,373,Duración,,66,,2025-01-02 00:00:00
749,375,Categoría,Economía,,,2025-01-02 00:00:00
751,376,Categoría,Tecnología,,,2025-01-02 00:00:00
752,376,Duración,,88,,2025-01-02 00:00:00
755,378,Categoría,Tecnología,,,2025-01-02 00:00:00
756,378,Duración,,63,,2025-01-02 00:00:00
762,381,Duración,,70,,2025-01-02 00:00:00
763,382,Categoría,Matemáticas,,,2025-01-02 00:00:00
772,386,Duración,,63,,2025-01-02 00:00:00
774,387,Duración,,20,,2025-01-02 00:00:00
776,388,Duración,,32,,2025-01-02 00:00:00
777,389,Categoría,Historia,,,2025-01-02 00:00:00
781,391,Categoría,Matemáticas,,,2025-01-02 00:00:00
782,391,Duración,,94,,2025-01-02 00:00:00
783,392,Categoría,Tecnología,,,2025-01-02 00:00:00
784,392,Duración,,109,,2025-01-02 00:00:00
785,393,Categoría,Filosofía,,,2025-01-02 00:00:00
786,393,Duración,,104,,2025-01-02 00:00:00
791,396,Categoría,Matemáticas,,,2025-01-02 00:00:00
793,397,Categoría,Tecnología,,,2025-01-02 00:00:00
795,398,Categoría,Historia,,,2025-01-02 00:00:00
807,404,Categoría,Matemáticas,,,2025-01-02 00:00:00
817,409,Categoría,Historia,,,2025-01-02 00:00:00
819,410,Categoría,Filosofía,,,2025-01-02 00:00:00
823,412,Categoría,Ciencia,,,2025-01-02 00:00:00
826,413,Duración,,82,,2025-01-02 00:00:00
832,416,Duración,,62,,2025-01-02 00:00:00
834,417,Duración,,13,,2025-01-02 00:00:00
835,418,Categoría,Ciencia,,,2025-01-02 00:00:00
837,419,Categoría,Tecnología,,,2025-01-02 00:00:00
838,419,Duración,,33,,2025-01-02 00:00:00
839,420,Categoría,Tecnología,,,2025-01-02 00:00:00
845,423,Categoría,Tecnología,,,2025-01-02 00:00:00
846,423,Duración,,49,,2025-01-02 00:00:00
853,427,Categoría,Historia,,,2025-01-02 00:00:00
855,428,Categoría,Matemáticas,,,2025-01-02 00:00:00
857,429,Categoría,Economía,,,2025-01-02 00:00:00
858,429,Duración,,87,,2025-01-02 00:00:00
861,431,Categoría,Economía,,,2025-01-02 00:00:00
863,432,Categoría,Filosofía,,,2025-01-02 00:00:00
867,434,Categoría,Matemáticas,,,2025-01-02 00:00:00
869,435,Categoría,Matemáticas,,,2025-01-02 00:00:00
870,435,Duración,,20,,2025-01-02 00:00:00
871,436,Categoría,Ciencia,,,2025-01-02 00:00:00
872,436,Duración,,104,,2025-01-02 00:00:00
875,438,Categoría,Filosofía,,,2025-01-02 00:00:00
877,439,Categoría,Ciencia,,,2025-01-02 00:00:00
885,443,Categoría,Tecnología,,,2025-01-02 00:00:00
886,443,Duración,,53,,2025-01-02 00:00:00
892,446,Duración,,49,,2025-01-02 00:00:00
894,447,Duración,,79,,2025-01-02 00:00:00
898,449,Duración,,33,,2025-01-02 00:00:00
903,452,Categoría,Tecnología,,,2025-01-02 00:00:00
905,453,Categoría,Matemáticas,,,2025-01-02 00:00:00
908,454,Duración,,45,,2025-01-02 00:00:00
912,456,Duración,,88,,2025-01-02 00:00:00
915,458,Categoría,Arte,,,2025-01-02 00:00:00
918,459,Duración,,6,,2025-01-02 00:00:00
920,460,Duración,,72,,2025-01-02 00:00:00
922,461,Duración,,24,,2025-01-02 00:00:00
925,463,Categoría,Filosofía,,,2025-01-02 00:00:00
926,463,Duración,,22,,2025-01-02 00:00:00
927,464,Categoría,Economía,,,2025-01-02 00:00:00
929,465,Categoría,Tecnología,,,2025-01-02 00:00:00
932,466,Duración,,103,,2025-01-02 00:00:00
935,468,Categoría,Filosofía,,,2025-01-02 00:00:00
936,468,Duración,,108,,2025-01-02 00:00:00
939,470,Categoría,Tecnología,,,2025-01-02 00:00:00
942,471,Duración,,72,,2025-01-02 00:00:00
943,472,Categoría,Ciencia,,,2025-01-02 00:00:00
948,474,Duración,,47,,2025-01-02 00:00:00
952,476,Duración,,116,,2025-01-02 00:00:00
953,477,Categoría,Historia,,,2025-01-02 00:00:00
957,479,Categoría,Ciencia,,,2025-01-02 00:00:00
961,481,Categoría,Historia,,,2025-01-02 00:00:00
963,482,Categoría,Matemáticas,,,2025-01-02 00:00:00
967,484,Categoría,Filosofía,,,2025-01-02 00:00:00
975,488,Categoría,Historia,,,2025-01-02 00:00:00
977,489,Categoría,Tecnología,,,2025-01-02 00:00:00
979,490,Categoría,Tecnología,,,2025-01-02 00:00:00
980,490,Duración,,82,,2025-01-02 00:00:00
982,491,Duración,,69,,2025-01-02 00:00:00
983,492,Categoría,Matemáticas,,,2025-01-02 00:00:00
985,493,Categoría,Filosofía,,,2025-01-02 00:00:00
989,495,Categoría,Arte,,,2025-01-02 00:00:00
990,495,Duración,,91,,2025-01-02 00:00:00
992,496,Duración,,91,,2025-01-02 00:00:00
993,497,Categoría,Historia,,,2025-01-02 00:00:00
994,497,Duración,,104,,2025-01-02 00:00:00
995,498,Categoría,Ciencia,,,2025-01-02 00:00:00
998,499,Duración,,75,,2025-01-02 00:00:00
999,500,Categoría,Matemáticas,,,2025-01-02 00:00:00
1001,501,Categoría,Economía,,,2025-01-02 00:00:00
1002,501,Duración,,63,,2025-01-02 00:00:00
1006,503,Duración,,101,,2025-01-02 00:00:00
1008,504,Duración,,100,,2025-01-02 00:00:00
1013,507,Categoría,Tecnología,,,2025-01-02 00:00:00
1017,509,Categoría,Economía,,,2025-01-02 00:00:00
1022,511,Duración,,120,,2025-01-02 00:00:00
1023,512,Categoría,Arte,,,2025-01-02 00:00:00
1024,512,Duración,,114,,2025-01-02 00:00:00
1027,514,Categoría,Tecnología,,,2025-01-02 00:00:00
1028,514,Duración,,26,,2025-01-02 00:00:00
1031,516,Categoría,Tecnología,,,2025-01-02 00:00:00
1032,516,Duración,,84,,2025-01-02 00:00:00
1033,517,Categoría,Matemáticas,,,2025-01-02 00:00:00
1034,517,Duración,,119,,2025-01-02 00:00:00
1035,518,Categoría,Historia,,,2025-01-02 00:00:00
1038,519,Duración,,173,,2025-01-02 00:00:00
1040,520,Duración,,91,,2025-01-02 00:00:00
1042,521,Duración,,57,,2025-01-02 00:00:00
1044,522,Duración,,40,,2025-01-02 00:00:00
1047,524,Categoría,Economía,,,2025-01-02 00:00:00
1048,524,Duración,,64,,2025-01-02 00:00:00
1052,526,Duración,,33,,2025-01-02 00:00:00
1053,527,Categoría,Arte,,,2025-01-02 00:00:00
1055,528,Categoría,Economía,,,2025-01-02 00:00:00
1061,531,Categoría,Historia,,,2025-01-02 00:00:00
1062,531,Duración,,111,,2025-01-02 00:00:00
1063,532,Categoría,Matemáticas,,,2025-01-02 00:00:00
1064,532,Duración,,57,,2025-01-02 00:00:00
1068,534,Duración,,12,,2025-01-02 00:00:00
1069,535,Categoría,Matemáticas,,,2025-01-02 00:00:00
1070,535,Duración,,48,,2025-01-02 00:00:00
1077,539,Categoría,Filosofía,,,2025-01-02 00:00:00
1078,539,Duración,,60,,2025-01-02 00:00:00
1079,540,Categoría,Matemáticas,,,2025-01-02 00:00:00
1084,542,Duración,,42,,2025-01-02 00:00:00
1085,543,Categoría,Historia,,,2025-01-02 00:00:00
1087,544,Categoría,Economía,,,2025-01-02 00:00:00
1088,544,Duración,,112,,2025-01-02 00:00:00
1089,545,Categoría,Arte,,,2025-01-02 00:00:00
1090,545,Duración,,96,,2025-01-02 00:00:00
1098,549,Duración,,12,,2025-01-02 00:00:00
1102,551,Duración,,71,,2025-01-02 00:00:00
1103,552,Categoría,Arte,,,2025-01-02 00:00:00
1107,554,Categoría,Arte,,,2025-01-02 00:00:00
1109,555,Categoría,Matemáticas,,,2025-01-02 00:00:00
1116,558,Duración,,45,,2025-01-02 00:00:00
1117,559,Categoría,Historia,,,2025-01-02 00:00:00
1121,561,Categoría,Tecnología,,,2025-01-02 00:00:00
1123,562,Categoría,Arte,,,2025-01-02 00:00:00
1127,564,Categoría,Matemáticas,,,2025-01-02 00:00:00
1128,564,Duración,,84,,2025-01-02 00:00:00
1131,566,Categoría,Historia,,,2025-01-02 00:00:00
1141,571,Categoría,Filosofía,,,2025-01-02 00:00:00
1142,571,Duración,,59,,2025-01-02 00:00:00
1143,572,Categoría,Matemáticas,,,2025-01-02 00:00:00
1145,573,Categoría,Arte,,,2025-01-02 00:00:00
1147,574,Categoría,Historia,,,2025-01-02 00:00:00
1148,574,Duración,,19,,2025-01-02 00:00:00
1149,575,Categoría,Matemáticas,,,2025-01-02 00:00:00
1150,575,Duración,,89,,2025-01-02 00:00:00
1153,577,Categoría,Matemáticas,,,2025-01-02 00:00:00
1154,577,Duración,,141,,2025-01-02 00:00:00
1158,579,Duración,,62,,2025-01-02 00:00:00
1160,580,Duración,,91,,2025-01-02 00:00:00
1162,581,Duración,,66,,2025-01-02 00:00:00
1164,582,Duración,,68,,2025-01-02 00:00:00
1167,584,Categoría,Ciencia,,,2025-01-02 00:00:00
1171,586,Categoría,Economía,,,2025-01-02 00:00:00
1175,588,Categoría,Tecnología,,,2025-01-02 00:00:00
1176,588,Duración,,26,,2025-01-02 00:00:00
1177,589,Categoría,Matemáticas,,,2025-01-02 00:00:00
1189,595,Categoría,Arte,,,2025-01-02 00:00:00
1192,596,Duración,,20,,2025-01-02 00:00:00
1195,598,Categoría,Economía,,,2025-01-02 00:00:00
1196,598,Duración,,14,,2025-01-02 00:00:00
1200,600,Duración,,63,,2025-01-02 00:00:00
1202,601,Duración,,99,,2025-01-02 00:00:00
1203,602,Categoría,Tecnología,,,2025-01-02 00:00:00
1206,603,Duración,,115,,2025-01-02 00:00:00
1207,604,Categoría,Economía,,,2025-01-02 00:00:00
1209,605,Categoría,Arte,,,2025-01-02 00:00:00
1214,607,Duración,,77,,2025-01-02 00:00:00
1215,608,Categoría,Matemáticas,,,2025-01-02 00:00:00
1217,609,Categoría,Historia,,,2025-01-02 00:00:00
1219,610,Categoría,Ciencia,,,2025-01-02 00:00:00
1221,611,Categoría,Arte,,,2025-01-02 00:00:00
1227,614,Categoría,Ciencia,,,2025-01-02 00:00:00
1233,617,Categoría,Arte,,,2025-01-02 00:00:00
1234,617,Duración,,82,,2025-01-02 00:00:00
1243,622,Categoría,Tecnología,,,2025-01-02 00:00:00
1247,624,Categoría,Historia,,,2025-01-02 00:00:00
1249,625,Categoría,Arte,,,2025-01-02 00:00:00
1253,627,Categoría,Filosofía,,,2025-01-02 00:00:00
1256,628,Duración,,140,,2025-01-02 00:00:00
1261,631,Categoría,Economía,,,2025-01-02 00:00:00
1263,632,Categoría,Matemáticas,,,2025-01-02 00:00:00
1267,634,Categoría,Ciencia,,,2025-01-02 00:00:00
1272,636,Duración,,43,,2025-01-02 00:00:00
1273,637,Categoría,Matemáticas,,,2025-01-02 00:00:00
1275,638,Categoría,Arte,,,2025-01-02 00:00:00
1277,639,Categoría,Ciencia,,,2025-01-02 00:00:00
1281,641,Categoría,Tecnología,,,2025-01-02 00:00:00
1284,642,Duración,,33,,2025-01-02 00:00:00
1286,643,Duración,,32,,2025-01-02 00:00:00
1288,644,Duración,,15,,2025-01-02 00:00:00
1289,645,Categoría,Matemáticas,,,2025-01-02 00:00:00
1291,646,Categoría,Tecnología,,,2025-01-02 00:00:00
1292,646,Duración,,12,,2025-01-02 00:00:00
1297,649,Categoría,Economía,,,2025-01-02 00:00:00
1298,649,Duración,,119,,2025-01-02 00:00:00
1300,650,Duración,,103,,2025-01-02 00:00:00
1302,651,Duración,,81,,2025-01-02 00:00:00
1304,652,Duración,,96,,2025-01-02 00:00:00
1305,653,Categoría,Historia,,,2025-01-02 00:00:00
1306,653,Duración,,69,,2025-01-02 00:00:00
1307,654,Categoría,Tecnología,,,2025-01-02 00:00:00
1309,655,Categoría,Ciencia,,,2025-01-02 00:00:00
1311,656,Categoría,Filosofía,,,2025-01-02 00:00:00
1315,658,Categoría,Filosofía,,,2025-01-02 00:00:00
1316,658,Duración,,41,,2025-01-02 00:00:00
1320,660,Duración,,60,,2025-01-02 00:00:00
1321,661,Categoría,Arte,,,2025-01-02 00:00:00
1322,661,Duración,,93,,2025-01-02 00:00:00
1323,662,Categoría,Tecnología,,,2025-01-02 00:00:00
1324,662,Duración,,17,,2025-01-02 00:00:00
1325,663,Categoría,Ciencia,,,2025-01-02 00:00:00
1326,663,Duración,,67,,2025-01-02 00:00:00
1329,665,Categoría,Matemáticas,,,2025-01-02 00:00:00
1330,665,Duración,,33,,2025-01-02 00:00:00
1334,667,Duración,,49,,2025-01-02 00:00:00
1337,669,Categoría,Ciencia,,,2025-01-02 00:00:00
1340,670,Duración,,120,,2025-01-02 00:00:00
1342,671,Duración,,28,,2025-01-02 00:00:00
1347,674,Categoría,Arte,,,2025-01-02 00:00:00
1348,674,Duración,,161,,2025-01-02 00:00:00
1349,675,Categoría,Arte,,,2025-01-02 00:00:00
1350,675,Duración,,104,,2025-01-02 00:00:00
1352,676,Duración,,28,,2025-01-02 00:00:00
1354,677,Duración,,22,,2025-01-02 00:00:00
1356,678,Duración,,99,,2025-01-02 00:00:00
1358,679,Duración,,47,,2025-01-02 00:00:00
1359,680,Categoría,Tecnología,,,2025-01-02 00:00:00
